sector,Prev week,This week,Rolling,group
Technology,10.92,1.67,9.65,Adjusted Price wt. Sentiment Score
Electronics & Computers,13.0,5.54,6.36,Adjusted Price wt. Sentiment Score
Financials,7.1,14.6,7.19,Adjusted Price wt. Sentiment Score
Pharmaceutical,4.67,2.3,5.33,Adjusted Price wt. Sentiment Score
Non-Metal Materials,12.66,6.4,7.19,Adjusted Price wt. Sentiment Score
Professional & Business Services,13.8,7.25,8.41,Adjusted Price wt. Sentiment Score
Software,6.2,10.88,8.1,Adjusted Price wt. Sentiment Score
Leisure & Travel,11.86,7.0,7.39,Adjusted Price wt. Sentiment Score
Metals & Mining,6.81,11.0,6.52,Adjusted Price wt. Sentiment Score
Consumer Cyclical,4.38,7.02,4.58,Adjusted Price wt. Sentiment Score
Semiconductors,7.14,10.52,5.57,Adjusted Price wt. Sentiment Score
Food & Beverage,6.7,4.8,6.36,Adjusted Price wt. Sentiment Score
Shipping & Transportation,6.67,5.0,5.95,Adjusted Price wt. Sentiment Score
Automotive,6.6,5.0,6.27,Adjusted Price wt. Sentiment Score
Real Estate,13.5,10.62,9.37,Adjusted Price wt. Sentiment Score
Banks,12.3,10.23,7.59,Adjusted Price wt. Sentiment Score
Telecommunications,8.0,9.6,7.74,Adjusted Price wt. Sentiment Score
Gaming & Entertainment,5.6,6.46,4.75,Adjusted Price wt. Sentiment Score
Aerospace & Defense,8.21,7.2,6.2,Adjusted Price wt. Sentiment Score
Internet,10.39,9.3,10.26,Adjusted Price wt. Sentiment Score
Medical & Healthcare,5.3,5.0,5.59,Adjusted Price wt. Sentiment Score
Biotechnology,4.7,4.7,6.63,Adjusted Price wt. Sentiment Score
Insurance,2.37,2.37,4.11,Adjusted Price wt. Sentiment Score
Utilities,12.5,12.5,9.66,Adjusted Price wt. Sentiment Score
Industrials,15.0,1.67,6.54,Adjusted Price wt. Sentiment Score
Industrials,13.9,1.67,6.82,Market Capitalization wt. Sentiment Score
Technology,10.08,1.67,8.1,Market Capitalization wt. Sentiment Score
Shipping & Transportation,9.75,2.9,7.39,Market Capitalization wt. Sentiment Score
Aerospace & Defense,3.73,12.2,7.54,Market Capitalization wt. Sentiment Score
Electronics & Computers,13.0,3.98,5.79,Market Capitalization wt. Sentiment Score
Telecommunications,14.2,6.08,7.01,Market Capitalization wt. Sentiment Score
Gaming & Entertainment,11.4,4.97,6.32,Market Capitalization wt. Sentiment Score
Software,4.37,9.99,9.29,Market Capitalization wt. Sentiment Score
Consumer Cyclical,6.43,13.0,6.63,Market Capitalization wt. Sentiment Score
Leisure & Travel,12.8,7.2,6.56,Market Capitalization wt. Sentiment Score
Banks,5.17,9.04,5.35,Market Capitalization wt. Sentiment Score
Financials,6.8,11.49,6.71,Market Capitalization wt. Sentiment Score
Retail,8.4,5.0,7.31,Market Capitalization wt. Sentiment Score
Professional & Business Services,5.0,8.35,6.47,Market Capitalization wt. Sentiment Score
Internet,8.29,12.8,10.71,Market Capitalization wt. Sentiment Score
Energy,3.36,5.0,4.28,Market Capitalization wt. Sentiment Score
Semiconductors,9.72,13.6,7.23,Market Capitalization wt. Sentiment Score
Pharmaceutical,3.13,2.3,4.53,Market Capitalization wt. Sentiment Score
Medical & Healthcare,3.81,5.0,5.02,Market Capitalization wt. Sentiment Score
Automotive,6.53,5.0,6.1,Market Capitalization wt. Sentiment Score
Real Estate,9.36,8.46,7.14,Market Capitalization wt. Sentiment Score
Non-Metal Materials,4.98,5.0,4.5,Market Capitalization wt. Sentiment Score
Biotechnology,4.7,4.7,6.05,Market Capitalization wt. Sentiment Score
Insurance,1.67,1.67,3.26,Market Capitalization wt. Sentiment Score
Utilities,5.5,5.5,5.76,Market Capitalization wt. Sentiment Score
Technology,14.0,1.67,7.36,Transaction Volume wt. Sentiment Score
Medical & Healthcare,1.87,6.5,4.51,Transaction Volume wt. Sentiment Score
Industrials,6.8,2.03,4.13,Transaction Volume wt. Sentiment Score
Shipping & Transportation,8.25,2.6,7.49,Transaction Volume wt. Sentiment Score
Pharmaceutical,1.67,5.01,4.42,Transaction Volume wt. Sentiment Score
Software,12.4,4.29,9.38,Transaction Volume wt. Sentiment Score
Electronics & Computers,7.89,2.8,4.47,Transaction Volume wt. Sentiment Score
Gaming & Entertainment,13.6,4.97,7.29,Transaction Volume wt. Sentiment Score
Consumer Cyclical,3.53,9.01,6.18,Transaction Volume wt. Sentiment Score
Leisure & Travel,11.52,5.0,6.77,Transaction Volume wt. Sentiment Score
Telecommunications,8.3,4.29,5.87,Transaction Volume wt. Sentiment Score
Aerospace & Defense,8.51,5.0,5.5,Transaction Volume wt. Sentiment Score
Semiconductors,6.02,9.97,6.55,Transaction Volume wt. Sentiment Score
Real Estate,4.5,6.66,8.54,Transaction Volume wt. Sentiment Score
Banks,4.1,5.17,5.07,Transaction Volume wt. Sentiment Score
Energy,4.02,5.0,4.62,Transaction Volume wt. Sentiment Score
Automotive,6.07,5.0,5.71,Transaction Volume wt. Sentiment Score
Non-Metal Materials,5.85,5.0,5.65,Transaction Volume wt. Sentiment Score
Retail,5.38,5.0,6.51,Transaction Volume wt. Sentiment Score
Internet,6.1,5.7,8.22,Transaction Volume wt. Sentiment Score
Financials,5.2,4.87,4.88,Transaction Volume wt. Sentiment Score
Metals & Mining,10.5,10.9,9.66,Transaction Volume wt. Sentiment Score
Professional & Business Services,6.3,6.47,5.57,Transaction Volume wt. Sentiment Score
Biotechnology,4.98,4.98,4.77,Transaction Volume wt. Sentiment Score
Insurance,2.33,2.33,6.64,Transaction Volume wt. Sentiment Score
Technology,10.92,1.67,6.82,Transaction Amount wt. Sentiment Score
Electronics & Computers,8.23,2.8,4.57,Transaction Amount wt. Sentiment Score
Consumer Cyclical,4.24,11.87,6.23,Transaction Amount wt. Sentiment Score
Leisure & Travel,12.8,5.0,6.23,Transaction Amount wt. Sentiment Score
Non-Metal Materials,10.31,5.0,7.14,Transaction Amount wt. Sentiment Score
Energy,2.6,5.0,3.91,Transaction Amount wt. Sentiment Score
Telecommunications,14.2,7.42,7.29,Transaction Amount wt. Sentiment Score
Medical & Healthcare,2.99,5.0,5.4,Transaction Amount wt. Sentiment Score
Gaming & Entertainment,8.2,4.97,5.27,Transaction Amount wt. Sentiment Score
Semiconductors,8.34,13.6,7.59,Transaction Amount wt. Sentiment Score
Shipping & Transportation,5.75,3.7,5.76,Transaction Amount wt. Sentiment Score
Aerospace & Defense,7.17,5.0,5.48,Transaction Amount wt. Sentiment Score
Banks,4.1,5.86,4.75,Transaction Amount wt. Sentiment Score
Automotive,7.0,5.0,6.41,Transaction Amount wt. Sentiment Score
Metals & Mining,10.09,13.3,9.84,Transaction Amount wt. Sentiment Score
Financials,5.0,6.42,4.74,Transaction Amount wt. Sentiment Score
Real Estate,6.93,8.55,7.64,Transaction Amount wt. Sentiment Score
Food & Beverage,10.7,8.83,11.09,Transaction Amount wt. Sentiment Score
Professional & Business Services,7.9,6.63,6.78,Transaction Amount wt. Sentiment Score
Retail,4.2,5.0,5.94,Transaction Amount wt. Sentiment Score
Software,6.55,6.07,8.2,Transaction Amount wt. Sentiment Score
Internet,6.48,6.2,8.46,Transaction Amount wt. Sentiment Score
Pharmaceutical,2.37,2.3,4.23,Transaction Amount wt. Sentiment Score
Biotechnology,4.7,4.7,4.97,Transaction Amount wt. Sentiment Score
Insurance,1.67,1.67,4.07,Transaction Amount wt. Sentiment Score
Shipping & Transportation,12.5,1.67,6.45,Social Score wt. Sentiment Score
Industrials,8.9,1.67,4.74,Social Score wt. Sentiment Score
Technology,6.53,1.67,4.56,Social Score wt. Sentiment Score
Telecommunications,10.9,3.2,7.38,Social Score wt. Sentiment Score
Food & Beverage,14.2,4.8,11.31,Social Score wt. Sentiment Score
Electronics & Computers,7.54,2.8,4.53,Social Score wt. Sentiment Score
Software,9.87,3.7,6.86,Social Score wt. Sentiment Score
Non-Metal Materials,12.84,5.0,6.75,Social Score wt. Sentiment Score
Leisure & Travel,12.8,5.0,6.1,Social Score wt. Sentiment Score
Medical & Healthcare,1.98,5.0,3.8,Social Score wt. Sentiment Score
Energy,2.91,6.9,4.54,Social Score wt. Sentiment Score
Gaming & Entertainment,11.2,4.97,6.51,Social Score wt. Sentiment Score
Automotive,3.6,1.67,4.98,Social Score wt. Sentiment Score
Internet,7.63,5.0,9.03,Social Score wt. Sentiment Score
Aerospace & Defense,7.54,5.0,5.78,Social Score wt. Sentiment Score
Metals & Mining,10.17,7.0,7.92,Social Score wt. Sentiment Score
Financials,7.0,4.87,5.56,Social Score wt. Sentiment Score
Semiconductors,7.83,10.61,6.98,Social Score wt. Sentiment Score
Banks,4.43,4.97,4.7,Social Score wt. Sentiment Score
Real Estate,4.5,4.95,6.14,Social Score wt. Sentiment Score
Pharmaceutical,2.13,2.3,4.01,Social Score wt. Sentiment Score
Consumer Cyclical,4.38,4.33,5.45,Social Score wt. Sentiment Score
Biotechnology,4.7,4.7,4.51,Social Score wt. Sentiment Score
Insurance,1.77,1.77,3.6,Social Score wt. Sentiment Score
Utilities,6.75,6.75,6.48,Social Score wt. Sentiment Score
